params,total_cycles,total_cost
3 3 0 3 0 2 0 0 2 0,2077673.75,20872.64900891717
0 0 0 0 0 1 3 1 1 0,40654209.375,4018.9475108610754
0 2 0 2 3 1 3 0 1 0,2396497.5,18896.018919801696
1 0 1 1 2 1 0 0 1 0,6682140.0,4429.701911564724
1 2 2 0 1 1 0 0 2 0,7858542.5,4645.231105353535
2 0 2 3 0 0 0 1 0 0,1056365.0,7735.484973072978
2 2 3 1 3 0 0 0 0 0,869235.0,27467.082973969937
3 1 0 0 1 2 1 1 2 0,6547055.625,7763.8142434371875
3 3 0 3 0 2 0 1 0 0,864945.0,20872.64900891717
0 0 0 0 0 2 0 0 0 0,27567610.0,946.9475108610754
0 2 0 2 3 1 3 1 0 0,1435965.0,18896.018919801696
1 0 1 1 2 1 0 0 2 0,13133738.125,4429.701911564724
1 2 2 0 1 1 0 1 0 0,2971795.0,4645.231105353535
2 0 2 3 0 0 0 1 1 0,1590969.375,7735.484973072978
2 2 3 1 3 0 0 0 1 0,1384458.75,27467.082973969937
3 1 0 0 1 2 2 0 0 0,1538300.0,11347.814243437188
3 3 0 3 0 2 0 1 1 0,1265636.25,20872.64900891717
0 0 0 0 0 2 0 0 1 0,42489511.875,946.9475108610754
0 2 0 2 3 1 3 1 1 0,2396430.0,18896.018919801696
1 0 1 1 2 1 0 1 0 0,4204950.0,4429.701911564724
1 2 2 0 1 1 0 1 1 0,4551609.375,4645.231105353535
2 0 2 3 0 0 0 1 2 0,2547656.5625,7735.484973072978
2 2 3 1 3 0 0 0 2 0,2927537.8125,27467.082973969937
3 1 0 0 1 2 2 0 1 0,3002146.875,11347.814243437188
3 3 0 3 0 2 0 1 2 0,2077673.75,20872.64900891717
0 0 0 0 0 2 0 1 0 0,27566170.0,946.9475108610754
0 2 0 2 3 2 0 0 0 0,2856950.0,15824.018919801698
1 0 1 1 2 1 0 1 1 0,6681937.5,4429.701911564724
1 2 2 0 1 1 0 1 2 0,7858471.25,4645.231105353535
2 0 2 3 0 0 1 0 0 0,943090.0,11575.484973072977
2 2 3 1 3 0 0 1 0 0,869235.0,27467.082973969937
3 1 0 0 1 2 2 0 2 0,6328157.8125,11347.814243437188
3 3 0 3 0 2 1 0 0 0,557950.0,23432.64900891717
0 0 0 0 0 2 0 1 1 0,42488971.875,946.9475108610754
0 2 0 2 3 2 0 0 1 0,4426824.375,15824.018919801698
1 0 1 1 2 1 0 1 2 0,13133666.875,4429.701911564724
1 2 2 0 1 1 1 0 0 0,2763960.0,7205.231105353535
2 0 2 3 0 0 1 0 1 0,1449084.375,11575.484973072977
2 2 3 1 3 0 0 1 1 0,1384458.75,27467.082973969937
3 1 0 0 1 2 2 1 0 0,1535600.0,11347.814243437188
3 3 0 3 0 2 1 0 1 0,842141.25,23432.64900891717
0 0 0 0 0 2 1 0 0 0,26853830.0,1586.9475108610754
0 2 0 2 3 2 0 1 0 0,2856950.0,15824.018919801698
1 0 1 1 2 1 1 0 0 0,3658875.0,6349.701911564724
1 2 2 0 1 1 1 0 1 0,4311939.375,7205.231105353535
2 0 2 3 0 0 1 0 2 0,2378639.6875,11575.484973072977
2 2 3 1 3 0 0 1 2 0,2927537.8125,27467.082973969937
3 1 0 0 1 2 2 1 1 0,3000729.375,11347.814243437188
3 3 0 3 0 2 1 0 2 0,1178581.875,23432.64900891717
0 0 0 0 0 2 1 0 1 0,41466768.75,1586.9475108610754
0 2 0 2 3 2 0 1 1 0,4426824.375,15824.018919801698
1 0 1 1 2 1 1 0 1 0,6039151.875,6349.701911564724
1 2 2 0 1 1 1 0 2 0,7592785.9375,7205.231105353535
2 0 2 3 0 0 1 1 0 0,941550.0,11575.484973072977
2 2 3 1 3 0 1 0 0 0,809425.0,33227.08297396993
3 1 0 0 1 2 2 1 2 0,6327516.5625,11347.814243437188
3 3 0 3 0 2 1 1 0 0,557950.0,23432.64900891717
0 0 0 0 0 2 1 1 0 0,26848610.0,1586.9475108610754
0 2 0 2 3 2 1 0 0 0,1868170.0,16464.018919801696
1 0 1 1 2 1 1 0 2 0,12353746.5625,6349.701911564724
1 2 2 0 1 1 1 1 0 0,2762700.0,7205.231105353535
2 0 2 3 0 0 1 1 1 0,1448296.875,11575.484973072977
2 2 3 1 3 0 1 0 1 0,1310782.5,33227.08297396993
3 1 0 0 1 2 3 0 0 0,1514625.0,17491.814243437188
3 3 0 3 0 2 1 1 1 0,842141.25,23432.64900891717
0 0 0 0 0 2 1 1 1 0,41464811.25,1586.9475108610754
0 2 0 2 3 2 1 0 1 0,2917119.375,16464.018919801696
1 0 1 1 2 1 1 1 0 0,3658455.0,6349.701911564724
1 2 2 0 1 1 1 1 1 0,4311331.875,7205.231105353535
2 0 2 3 0 0 1 1 2 0,2378307.1875,11575.484973072977
2 2 3 1 3 0 1 0 2 0,2841307.5,33227.08297396993
3 1 0 0 1 2 3 0 1 0,2964217.5,17491.814243437188
3 3 0 3 0 2 1 1 2 0,1178581.875,23432.64900891717
0 0 0 0 0 2 2 1 0 0,26457145.0,2482.9475108610754
0 2 0 2 3 2 1 1 0 0,1868170.0,16464.018919801696
1 0 1 1 2 1 1 1 1 0,6038949.375,6349.701911564724
1 2 2 0 1 1 1 1 2 0,7592572.1875,7205.231105353535
2 0 2 3 0 0 2 0 0 0,911275.0,16951.484973072977
2 2 3 1 3 0 1 1 0 0,809425.0,33227.08297396993
3 1 0 0 1 2 3 0 2 0,6271448.75,17491.814243437188
3 3 0 3 0 2 2 0 0 0,392315.0,27016.64900891717
0 0 0 0 0 2 2 1 1 0,40903801.875,2482.9475108610754
0 2 0 2 3 2 1 1 1 0,2917119.375,16464.018919801696
1 0 1 1 2 1 1 1 2 0,12353675.3125,6349.701911564724
1 2 2 0 1 1 2 1 0 0,2684900.0,10789.231105353534
2 0 2 3 0 0 2 0 1 0,1386967.5,16951.484973072977
2 2 3 1 3 0 1 1 1 0,1310782.5,33227.08297396993
